State_Name,Crop_Type,Crop,N,P,K,pH,rainfall,temperature,Area_in_hectares,Production_in_tons
andaman and nicobar islands,kharif,rice,80,40,40,5.54,1925.68,27.0,189.2,510.84
andaman and nicobar islands,rabi,turmeric,25,60,100,5.06,865.9399999999999,26.6,2.0,0.5
andaman and nicobar islands,rabi,sweetpotato,90,20,120,5.12,865.9399999999999,26.6,22.0,208.0
andaman and nicobar islands,rabi,moong,20,40,20,5.5,865.9399999999999,26.6,1.5,1.1
andaman and nicobar islands,rabi,maize,80,40,20,5.5,865.9399999999999,26.6,3.84,18.22
andaman and nicobar islands,rabi,cashewnuts,70,40,60,6.08,865.9399999999999,26.6,1000.5,260.5
andaman and nicobar islands,rabi,blackpepper,100,60,50,5.14,865.9399999999999,26.6,23.0,8.5
andaman and nicobar islands,rabi,arecanut,100,40,140,5.82,865.9399999999999,26.6,944.0,1610.0
andaman and nicobar islands,kharif,rice,80,40,40,5.66,1925.68,27.0,3.5,10.0
andaman and nicobar islands,kharif,pumpkin,63,28,25,5.61,399.8,24.87,8554.0,18993.0
andaman and nicobar islands,kharif,cardamom,45,36,38,6.32,504.59,22.48,12068.0,2819.0
andaman and nicobar islands,kharif,soyabean,30,54,30,5.66,277.17,28.75,8712.0,19847.0
andaman and nicobar islands,whole year,banana,100,75,50,6.54,3322.0599999999995,27.036363636363635,593.0,3425.0
andaman and nicobar islands,summer,brinjal,84,20,40,5.41,202.19,27.3,3512.0,16386.0
andaman and nicobar islands,kharif,rice,80,40,40,5.56,1925.68,27.0,52.94,72.57
andaman and nicobar islands,whole year,arecanut,100,40,140,5.82,3322.0599999999995,27.036363636363635,1264.7,805.85
andaman and nicobar islands,whole year,banana,100,75,50,6.38,3322.0599999999995,27.036363636363635,66.42,404.12
andaman and nicobar islands,whole year,blackpepper,100,60,50,5.02,3322.0599999999995,27.036363636363635,85.0,15.86
andaman and nicobar islands,whole year,cashewnuts,70,40,60,6.0,3322.0599999999995,27.036363636363635,683.5,197.9
andaman and nicobar islands,kharif,rice,80,40,40,5.44,1925.68,27.0,10681.98,29119.66
andaman and nicobar islands,whole year,arecanut,100,40,140,6.14,3322.0599999999995,27.036363636363635,3160.67,3975.2
andaman and nicobar islands,whole year,banana,100,75,50,6.38,3322.0599999999995,27.036363636363635,1912.1,17374.4
